"residuals....resid.lotSF_lm3.","standardized.residuals","studentized.residuals","cooks.distance","dfbeta.(Intercept)","dfbeta.sq_ft_lot","dfbeta.square_feet_total_living","dfbeta.bath_full_count","dffit","leverage","covariance.ratios"
-15079.1604689047,-0.0419967155453662,-0.0419950788050038,4.19845810261988e-08,0.0638967150494103,7.1394568715585e-06,-0.000302696567065722,-0.348248755729424,-0.000409786815576505,9.52089577341927e-05,1.00040708685449
-74868.278683049,-0.208514848158688,-0.208507061270704,1.08374735950873e-06,0.967158733506398,3.97313293571504e-05,-0.00215117594418475,-1.22888398814103,-0.00208198599126813,9.96944019650378e-05,1.00039854054746
-90149.0490938955,-0.25109839398699,-0.251089208697681,4.74054917128232e-06,-22.1034116092791,5.52032479853749e-05,-0.00964581596819442,21.2441624399015,-0.00435440115510403,0.000300656213786792,1.00059352634609
-46899.7770650245,-0.130627242141435,-0.130622229221856,8.93770056531499e-07,-18.0861471239492,4.58252479907259e-06,0.00133175691557072,6.0584305100364,-0.00189071569479809,0.000209472634009007,1.00051663995284
-66052.3102288092,-0.183972995923167,-0.183966056356663,1.89322636507711e-06,-26.9049799250666,5.01214799096583e-06,0.00321259487848642,7.4622125100022,-0.00275178744863103,0.000223695482229515,1.0005256288619
-758478.641215333,-2.11270774239074,-2.11299350374314,0.000403882000306453,128.105152734347,0.00077791775896494,-0.135152967910769,76.9723936164596,-0.0401990678756191,0.000361808264062231,0.999280139370383
84710.6141200819,0.235970443610715,0.235961743829264,6.55900204064053e-06,-31.9295466500795,0.000136646801105703,0.00205855383030241,16.7860165680742,0.00512192089501399,0.000470953424007486,1.00076630804306
3613.61679681732,0.0100647643269032,0.0100643714190681,5.13499429436118e-09,-0.405080065467571,-8.36907069611621e-07,0.00042172130205474,-0.202679117234374,0.000143312154164477,0.000202723775501094,1.00051518674038
-287989.057899743,-0.802164381311524,-0.802153215001028,5.17904679431655e-05,47.2917068524182,2.98065634897376e-05,-0.0470181089273393,27.1571544559928,-0.0143929185480962,0.00032184241729395,1.00043335068223
-22770.2115046982,-0.063426217692797,-0.0634237513732307,3.90330764841018e-07,-5.87127270758286,-3.74146426501307e-05,-0.0015804637747876,4.94623758763738,-0.0012494805472952,0.000387959708938287,1.0006993643507
-5985.71664735369,-0.0166708915186567,-0.0166702408360618,8.05807361684595e-09,-0.435746625881113,1.04074752685747e-06,0.000325460003557572,-0.488118630906952,-0.000179526539528676,0.000115964004910732,1.000428317018
-129529.740821586,-0.3607515669366,-0.360739315384138,3.1827446394979e-06,-4.59779531659632,5.67710726354329e-05,0.00219573477553972,-6.83450745543599,-0.00356792851025842,9.78144127891565e-05,1.00036958160794
-101153.744368884,-0.281738730007812,-0.281728603455729,4.30479861227686e-06,-31.5128205122218,2.93735377347383e-05,-0.0042604203801635,18.7157320910757,-0.00414945257236105,0.000216883005955218,1.00050458343581
-421780.632885582,-1.17584809154589,-1.17586565798313,0.000712420049378885,-62.9004343017944,-0.0029664538659334,0.0875691709275962,-70.5532739894574,-0.0533831934511394,0.00205683519559672,1.00194132119636
14800.6453531935,0.0412235637859248,0.0412219570741007,9.27340854324353e-08,-0.558140077491939,2.47449380113346e-05,0.000388442142140248,0.101223134394209,0.000609021696972955,0.000218229536602738,1.00053020448345
-148428.569344557,-0.413386363350041,-0.413372981855646,4.1625417998399e-06,-5.27748738095592,6.3307392429088e-05,0.00254436035688354,-7.84528221486144,-0.00408032955417306,9.74235597335649e-05,1.00035645945489
